Course_Name,University,District,Z_Score,Stream,Unicode
INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),University of Sri Jayewardenepura,Colombo,2.0626,Physical | IT,104C
INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),University of Sri Jayewardenepura,Gampaha,2.0708,Physical | IT,104C
SOFTWARE ENGINEERING,University of Kelaniya,Colombo,1.5391,Physical | IT,099D
SOFTWARE ENGINEERING,University of Kelaniya,Gampaha,1.5402,Physical | IT,099D
SOFTWARE ENGINEERING,University of Sri Jayewardenepura,Colombo,1.5155,Physical | IT,099C
SOFTWARE ENGINEERING,University of Sri Jayewardenepura,Gampaha,1.5143,Physical | IT,099C
FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,University of Ruhuna,Colombo,1.2946,Physical,099E
FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,University of Ruhuna,Gampaha,1.2724,Physical,099E
STATISTICS & OPERATIONS RESEARCH,University of Peradeniya,Colombo,1.4013,Physical,115A
STATISTICS & OPERATIONS RESEARCH,University of Peradeniya,Gampaha,1.4110,Physical,115A
INFORMATION SYSTEMS,University of Colombo,Colombo,1.7906,Physical | IT,096T
INFORMATION SYSTEMS,University of Colombo,Gampaha,1.7959,Physical | IT,096T
INFORMATION SYSTEMS,Sabaragamuwa University of Sri Lanka,Colombo,1.4087,Physical | IT,096C
INFORMATION SYSTEMS,Sabaragamuwa University of Sri Lanka,Gampaha,1.3329,Physical | IT,096C
COMPUTER SCIENCE,University of Colombo,Colombo,1.6607,Physical | IT,012T
COMPUTER SCIENCE,University of Colombo,Gampaha,1.6646,Physical | IT,012T
COMPUTER SCIENCE,University of Sri Jayewardenepura,Colombo,1.5831,Physical | IT,012C
COMPUTER SCIENCE,University of Sri Jayewardenepura,Gampaha,1.5804,Physical | IT,012C
COMPUTER SCIENCE,University of Kelaniya,Colombo,1.5846,Physical | IT,012B
COMPUTER SCIENCE,University of Kelaniya,Gampaha,1.6109,Physical | IT,012B
COMPUTER SCIENCE,University of Jaffna,Colombo,1.3958,Physical | IT,012E
COMPUTER SCIENCE,University of Jaffna,Gampaha,1.1987,Physical | IT,012E
COMPUTER SCIENCE,University of Ruhuna,Colombo,1.4176,Physical | IT,012F
COMPUTER SCIENCE,University of Ruhuna,Gampaha,1.4118,Physical | IT,012F
BUSINESS INFORMATION SYSTEMS [Physical Science Stream],University of Sri Jayewardenepura,Colombo,1.6391,Physical | IT,075B
BUSINESS INFORMATION SYSTEMS [Physical Science Stream],University of Sri Jayewardenepura,Gampaha,1.6159,Physical | IT,075B
INFORMATION SYSTEMS [Physical Science Stream],Sabaragamuwa University of Sri Lanka,Colombo,1.5081,Physical | IT,077F
INFORMATION SYSTEMS [Physical Science Stream],Sabaragamuwa University of Sri Lanka,Gampaha,1.3287,Physical | IT,077F
